day,kind,W,h,mo
1,M67_buy,1000,50,0.5
1,M67_buy,1000,200,1.5
1,M67_buy,2000,10,0.0
1,M67_buy,2000,50,0.0
1,M67_buy,2000,200,1.5
1,M67_buy,3000,10,0.5
1,M67_buy,3000,50,0.5
1,M67_buy,3000,200,1.5
1,M67_buy,5000,10,1.0
1,M67_buy,5000,50,1.0
1,M67_buy,5000,200,-2.0
1,M49_sell,0,10,1.5
1,M49_sell,0,50,1.5
1,M49_sell,0,200,2.5
1,M49_sell,500,10,0.0
1,M49_sell,500,50,0.0
1,M49_sell,500,200,0.5
1,M49_sell,1000,10,0.5
1,M49_sell,1000,50,0.5
1,M49_sell,1000,200,1.5
1,M49_sell,2000,10,0.0
1,M49_sell,2000,50,0.0
1,M49_sell,2000,200,1.5
1,M49_sell,3000,10,0.5
1,M49_sell,3000,50,0.5
1,M49_sell,3000,200,1.5
1,M49_sell,5000,10,1.0
1,M49_sell,5000,50,1.0
1,M49_sell,5000,200,-2.0
1,M67_buy,0,10,2.5
1,M67_buy,0,50,2.5
1,M67_buy,0,200,1.5
1,M67_buy,500,10,-1.0
1,M67_buy,500,50,-1.0
1,M67_buy,500,200,0.0
1,M67_buy,1000,10,-0.5
1,M67_buy,1000,50,-0.5
1,M67_buy,1000,200,0.0
1,M67_buy,2000,10,0.0
1,M67_buy,2000,50,0.0
1,M67_buy,2000,200,-0.5
1,M67_buy,3000,10,-2.0
1,M67_buy,3000,50,-2.0
1,M67_buy,3000,200,-1.0
1,M67_buy,5000,10,-1.0
1,M67_buy,5000,50,-1.0
1,M67_buy,5000,200,-1.0
1,M67_buy,0,10,1.5
1,M67_buy,0,50,1.5
1,M67_buy,0,200,0.5
1,M67_buy,500,10,-0.5
1,M67_buy,500,50,-0.5
1,M67_buy,500,200,-1.5
1,M67_buy,1000,10,-1.5
1,M67_buy,1000,50,-1.5
1,M67_buy,1000,200,1.0
1,M67_buy,2000,10,0.0
1,M67_buy,2000,50,0.0
1,M67_buy,2000,200,-0.5
1,M67_buy,3000,10,1.5
1,M67_buy,3000,50,1.5
1,M67_buy,3000,200,0.0
1,M67_buy,5000,10,-1.5
1,M67_buy,5000,50,-1.5
1,M67_buy,5000,200,-2.0
1,M67_buy,0,10,1.5
1,M67_buy,0,50,1.5
1,M67_buy,0,200,3.0
1,M67_buy,500,10,1.0
1,M67_buy,500,50,1.0
1,M67_buy,500,200,2.0
1,M67_buy,1000,10,-2.0
1,M67_buy,1000,50,-2.0
1,M67_buy,1000,200,-2.0
1,M67_buy,2000,10,2.5
1,M67_buy,2000,50,2.5
1,M67_buy,2000,200,1.5
1,M67_buy,3000,10,1.0
1,M67_buy,3000,50,1.0
1,M67_buy,3000,200,1.0
1,M67_buy,5000,10,0.5
1,M67_buy,5000,50,0.5
1,M67_buy,5000,200,-1.0
1,M49_sell,0,10,1.5
1,M49_sell,0,50,1.5
1,M49_sell,0,200,3.0
1,M49_sell,500,10,1.0
1,M49_sell,500,50,1.0
1,M49_sell,500,200,2.0
1,M49_sell,1000,10,-2.0
1,M49_sell,1000,50,-2.0
1,M49_sell,1000,200,-2.0
1,M49_sell,2000,10,2.5
1,M49_sell,2000,50,2.5
1,M49_sell,2000,200,1.5
1,M49_sell,3000,10,1.0
1,M49_sell,3000,50,1.0
1,M49_sell,3000,200,1.0
1,M49_sell,5000,10,0.5
1,M49_sell,5000,50,0.5
1,M49_sell,5000,200,-1.0
1,M67_buy,0,10,2.5
1,M67_buy,0,50,2.5
1,M67_buy,0,200,1.5
1,M67_buy,500,10,1.0
1,M67_buy,500,50,1.0
1,M67_buy,500,200,0.5
1,M67_buy,1000,10,0.0
1,M67_buy,1000,50,0.0
1,M67_buy,1000,200,-1.0
1,M67_buy,2000,10,0.0
1,M67_buy,2000,50,0.0
1,M67_buy,2000,200,-2.0
1,M67_buy,3000,10,2.0
1,M67_buy,3000,50,2.0
1,M67_buy,3000,200,1.5
1,M67_buy,5000,10,0.5
1,M67_buy,5000,50,0.5
1,M67_buy,5000,200,0.5
1,M67_buy,0,10,2.5
1,M67_buy,0,50,2.5
1,M67_buy,0,200,1.5
1,M67_buy,500,10,0.0
1,M67_buy,500,50,0.0
1,M67_buy,500,200,3.0
1,M67_buy,1000,10,-1.0
1,M67_buy,1000,50,-1.0
1,M67_buy,1000,200,-2.0
1,M67_buy,2000,10,0.0
1,M67_buy,2000,50,0.0
1,M67_buy,2000,200,-1.0
1,M67_buy,3000,10,-1.5
1,M67_buy,3000,50,-1.5
1,M67_buy,3000,200,-0.5
1,M67_buy,5000,10,0.0
1,M67_buy,5000,50,0.0
1,M67_buy,5000,200,-1.0
1,M49_sell,0,10,2.5
1,M49_sell,0,50,2.5
1,M49_sell,0,200,1.5
1,M49_sell,500,10,0.0
1,M49_sell,500,50,0.0
1,M49_sell,500,200,3.0
1,M49_sell,1000,10,-1.0
1,M49_sell,1000,50,-1.0
1,M49_sell,1000,200,-2.0
1,M49_sell,2000,10,0.0
1,M49_sell,2000,50,0.0
1,M49_sell,2000,200,-1.0
1,M49_sell,3000,10,-1.5
1,M49_sell,3000,50,-1.5
1,M49_sell,3000,200,-0.5
1,M49_sell,5000,10,0.0
1,M49_sell,5000,50,0.0
1,M49_sell,5000,200,-1.0
1,M67_buy,0,10,1.5
1,M67_buy,0,50,1.5
1,M67_buy,0,200,1.5
1,M67_buy,500,10,0.0
1,M67_buy,500,50,0.0
1,M67_buy,500,200,0.5
1,M67_buy,1000,10,0.0
1,M67_buy,1000,50,0.0
1,M67_buy,1000,200,-3.0
1,M67_buy,2000,10,2.5
1,M67_buy,2000,50,2.5
1,M67_buy,2000,200,4.0
1,M67_buy,3000,10,-2.0
1,M67_buy,3000,50,-2.0
1,M67_buy,3000,200,-4.5
1,M67_buy,5000,10,-1.0
1,M67_buy,5000,50,-1.0
1,M67_buy,5000,200,-2.0
1,M67_buy,0,10,1.5
1,M67_buy,0,50,1.5
1,M67_buy,0,200,1.5
1,M67_buy,500,10,1.0
1,M67_buy,500,50,1.0
1,M67_buy,500,200,0.5
1,M67_buy,1000,10,-0.5
1,M67_buy,1000,50,-0.5
1,M67_buy,1000,200,-2.0
1,M67_buy,2000,10,-0.5
1,M67_buy,2000,50,-0.5
1,M67_buy,2000,200,-1.5
1,M67_buy,3000,10,0.0
1,M67_buy,3000,50,0.0
1,M67_buy,3000,200,1.0
1,M67_buy,5000,10,2.0
1,M67_buy,5000,50,2.0
1,M67_buy,5000,200,3.0
1,M49_sell,0,10,1.5
1,M49_sell,0,50,1.5
1,M49_sell,0,200,1.5
1,M49_sell,500,10,1.0
1,M49_sell,500,50,1.0
1,M49_sell,500,200,0.5
1,M49_sell,1000,10,-0.5
1,M49_sell,1000,50,-0.5
1,M49_sell,1000,200,-2.0
1,M49_sell,2000,10,-0.5
1,M49_sell,2000,50,-0.5
1,M49_sell,2000,200,-1.5
1,M49_sell,3000,10,0.0
1,M49_sell,3000,50,0.0
1,M49_sell,3000,200,1.0
1,M49_sell,5000,10,2.0
1,M49_sell,5000,50,2.0
1,M49_sell,5000,200,3.0
1,M67_buy,0,10,1.5
1,M67_buy,0,50,1.5
1,M67_buy,0,200,2.5
1,M67_buy,500,10,0.0
1,M67_buy,500,50,0.0
1,M67_buy,500,200,0.0
1,M67_buy,1000,10,-0.5
1,M67_buy,1000,50,-0.5
1,M67_buy,1000,200,-1.5
1,M67_buy,2000,10,-0.5
1,M67_buy,2000,50,-0.5
1,M67_buy,2000,200,-1.0
1,M67_buy,3000,10,0.0
1,M67_buy,3000,50,0.0
1,M67_buy,3000,200,-1.0
1,M67_buy,5000,10,0.0
1,M67_buy,5000,50,0.0
1,M67_buy,5000,200,0.5
1,M67_buy,0,10,4.0
1,M67_buy,0,50,4.0
1,M67_buy,0,200,5.0
1,M67_buy,500,10,-1.0
1,M67_buy,500,50,-1.0
1,M67_buy,500,200,3.0
1,M67_buy,1000,10,1.0
1,M67_buy,1000,50,1.0
1,M67_buy,1000,200,1.0
1,M67_buy,2000,10,0.0
1,M67_buy,2000,50,0.0
1,M67_buy,2000,200,0.0
1,M67_buy,3000,10,2.0
1,M67_buy,3000,50,2.0
1,M67_buy,3000,200,2.0
1,M67_buy,5000,10,2.0
1,M67_buy,5000,50,2.0
1,M67_buy,5000,200,3.0
1,M49_sell,0,10,4.0
1,M49_sell,0,50,4.0
1,M49_sell,0,200,5.0
1,M49_sell,500,10,-1.0
1,M49_sell,500,50,-1.0
1,M49_sell,500,200,3.0
1,M49_sell,1000,10,1.0
1,M49_sell,1000,50,1.0
1,M49_sell,1000,200,1.0
1,M49_sell,2000,10,0.0
1,M49_sell,2000,50,0.0
1,M49_sell,2000,200,0.0
1,M49_sell,3000,10,2.0
1,M49_sell,3000,50,2.0
1,M49_sell,3000,200,2.0
1,M49_sell,5000,10,2.0
1,M49_sell,5000,50,2.0
1,M49_sell,5000,200,3.0
1,M67_buy,0,10,1.5
1,M67_buy,0,50,1.5
1,M67_buy,0,200,0.0
1,M67_buy,500,10,-1.0
1,M67_buy,500,50,-1.0
1,M67_buy,500,200,0.0
1,M67_buy,1000,10,-1.0
1,M67_buy,1000,50,-1.0
1,M67_buy,1000,200,-0.5
1,M67_buy,2000,10,1.0
1,M67_buy,2000,50,1.0
1,M67_buy,2000,200,-0.5
1,M67_buy,3000,10,0.0
1,M67_buy,3000,50,0.0
1,M67_buy,3000,200,-0.5
1,M67_buy,5000,10,2.5
1,M67_buy,5000,50,2.5
1,M67_buy,5000,200,3.0
1,M49_sell,0,10,1.5
1,M49_sell,0,50,1.5
1,M49_sell,0,200,0.0
1,M49_sell,500,10,-1.0
1,M49_sell,500,50,-1.0
1,M49_sell,500,200,0.0
1,M49_sell,1000,10,-1.0
1,M49_sell,1000,50,-1.0
1,M49_sell,1000,200,-0.5
1,M49_sell,2000,10,1.0
1,M49_sell,2000,50,1.0
1,M49_sell,2000,200,-0.5
1,M49_sell,3000,10,0.0
1,M49_sell,3000,50,0.0
1,M49_sell,3000,200,-0.5
1,M49_sell,5000,10,2.5
1,M49_sell,5000,50,2.5
1,M49_sell,5000,200,3.0
1,M49_sell,0,10,1.5
1,M49_sell,0,50,1.5
1,M49_sell,0,200,-1.5
1,M49_sell,500,10,-0.5
1,M49_sell,500,50,-0.5
1,M49_sell,500,200,0.0
1,M49_sell,1000,10,-0.5
1,M49_sell,1000,50,-0.5
1,M49_sell,1000,200,0.5
1,M49_sell,2000,10,0.5
1,M49_sell,2000,50,0.5
1,M49_sell,2000,200,0.5
1,M49_sell,3000,10,2.5
1,M49_sell,3000,50,2.5
1,M49_sell,3000,200,2.5
1,M49_sell,5000,10,0.0
1,M49_sell,5000,50,0.0
1,M49_sell,5000,200,-1.0
1,M67_buy,0,10,2.5
1,M67_buy,0,50,2.5
1,M67_buy,0,200,2.0
1,M67_buy,500,10,-0.5
1,M67_buy,500,50,-0.5
1,M67_buy,500,200,-1.0
1,M67_buy,1000,10,0.0
1,M67_buy,1000,50,0.0
1,M67_buy,1000,200,0.0
1,M67_buy,2000,10,1.0
1,M67_buy,2000,50,1.0
1,M67_buy,2000,200,1.5
1,M67_buy,3000,10,-1.0
1,M67_buy,3000,50,-1.0
1,M67_buy,3000,200,-2.0
1,M67_buy,5000,10,-0.5
1,M67_buy,5000,50,-0.5
1,M67_buy,5000,200,0.0
1,M67_buy,0,10,2.0
1,M67_buy,0,50,2.0
1,M67_buy,0,200,1.5
1,M67_buy,500,10,0.0
1,M67_buy,500,50,0.0
1,M67_buy,500,200,-1.0
1,M67_buy,1000,10,-0.5
1,M67_buy,1000,50,-0.5
1,M67_buy,1000,200,-2.0
1,M67_buy,2000,10,-2.0
1,M67_buy,2000,50,-2.0
1,M67_buy,2000,200,-1.5
1,M67_buy,3000,10,-0.5
1,M67_buy,3000,50,-0.5
1,M67_buy,3000,200,0.0
1,M67_buy,5000,10,0.0
1,M67_buy,5000,50,0.0
1,M67_buy,5000,200,0.0
1,M67_buy,0,10,1.0
1,M67_buy,0,50,1.0
1,M67_buy,0,200,0.0
1,M67_buy,500,10,0.0
1,M67_buy,500,50,0.0
1,M67_buy,500,200,-0.5
1,M67_buy,1000,10,1.0
1,M67_buy,1000,50,1.0
1,M67_buy,1000,200,2.0
1,M67_buy,2000,10,-0.5
1,M67_buy,2000,50,-0.5
1,M67_buy,2000,200,0.0
1,M67_buy,3000,10,-1.0
1,M67_buy,3000,50,-1.0
1,M67_buy,3000,200,-1.0
1,M67_buy,5000,10,-1.5
1,M67_buy,5000,50,-1.5
1,M67_buy,5000,200,-2.0
1,M49_sell,0,10,1.0
1,M49_sell,0,50,1.0
1,M49_sell,0,200,0.0
1,M49_sell,500,10,0.0
1,M49_sell,500,50,0.0
1,M49_sell,500,200,-0.5
1,M49_sell,1000,10,1.0
1,M49_sell,1000,50,1.0
1,M49_sell,1000,200,2.0
1,M49_sell,2000,10,-0.5
1,M49_sell,2000,50,-0.5
1,M49_sell,2000,200,0.0
1,M49_sell,3000,10,-1.0
1,M49_sell,3000,50,-1.0
1,M49_sell,3000,200,-1.0
1,M49_sell,5000,10,-1.5
1,M49_sell,5000,50,-1.5
1,M49_sell,5000,200,-2.0
1,M67_buy,0,10,2.0
1,M67_buy,0,50,2.0
1,M67_buy,0,200,2.5
1,M67_buy,500,10,-1.0
1,M67_buy,500,50,-1.0
1,M67_buy,500,200,0.0
1,M67_buy,1000,10,1.5
1,M67_buy,1000,50,1.5
1,M67_buy,1000,200,1.0
1,M67_buy,2000,10,1.0
1,M67_buy,2000,50,1.0
1,M67_buy,2000,200,1.5
1,M67_buy,3000,10,0.0
1,M67_buy,3000,50,0.0
1,M67_buy,3000,200,0.5
1,M67_buy,5000,10,2.0
1,M67_buy,5000,50,2.0
1,M67_buy,5000,200,1.0
1,M49_sell,0,10,2.0
1,M49_sell,0,50,2.0
1,M49_sell,0,200,2.5
1,M49_sell,500,10,-1.0
1,M49_sell,500,50,-1.0
1,M49_sell,500,200,0.0
1,M49_sell,1000,10,1.5
1,M49_sell,1000,50,1.5
1,M49_sell,1000,200,1.0
1,M49_sell,2000,10,1.0
1,M49_sell,2000,50,1.0
1,M49_sell,2000,200,1.5
1,M49_sell,3000,10,0.0
1,M49_sell,3000,50,0.0
1,M49_sell,3000,200,0.5
1,M49_sell,5000,10,2.0
1,M49_sell,5000,50,2.0
1,M49_sell,5000,200,1.0
1,M67_buy,0,10,1.0
1,M67_buy,0,50,1.0
1,M67_buy,0,200,1.0
1,M67_buy,500,10,-1.5
1,M67_buy,500,50,-1.5
1,M67_buy,500,200,-2.0
1,M67_buy,1000,10,0.5
1,M67_buy,1000,50,0.5
1,M67_buy,1000,200,0.5
1,M67_buy,2000,10,1.0
1,M67_buy,2000,50,1.0
1,M67_buy,2000,200,3.0
1,M67_buy,3000,10,-1.0
1,M67_buy,3000,50,-1.0
1,M67_buy,3000,200,0.0
1,M67_buy,5000,10,0.0
1,M67_buy,5000,50,0.0
1,M67_buy,5000,200,0.5
1,M49_sell,0,10,1.0
1,M49_sell,0,50,1.0
1,M49_sell,0,200,1.0
1,M49_sell,500,10,-1.5
1,M49_sell,500,50,-1.5
1,M49_sell,500,200,-2.0
1,M49_sell,1000,10,0.5
1,M49_sell,1000,50,0.5
1,M49_sell,1000,200,0.5
1,M49_sell,2000,10,1.0
1,M49_sell,2000,50,1.0
1,M49_sell,2000,200,3.0
1,M49_sell,3000,10,-1.0
1,M49_sell,3000,50,-1.0
1,M49_sell,3000,200,0.0
1,M49_sell,5000,10,0.0
1,M49_sell,5000,50,0.0
1,M49_sell,5000,200,0.5
1,M67_buy,0,10,3.0
1,M67_buy,0,50,3.0
1,M67_buy,0,200,3.5
1,M67_buy,500,10,-1.5
1,M67_buy,500,50,-1.5
1,M67_buy,500,200,-2.0
1,M67_buy,1000,10,-0.5
1,M67_buy,1000,50,-0.5
1,M67_buy,1000,200,-1.5
1,M67_buy,2000,10,2.0
1,M67_buy,2000,50,2.0
1,M67_buy,2000,200,1.5
1,M67_buy,3000,10,1.0
1,M67_buy,3000,50,1.0
1,M67_buy,3000,200,2.0
1,M67_buy,5000,10,1.0
1,M67_buy,5000,50,1.0
1,M67_buy,5000,200,0.0
1,M67_buy,0,10,2.0
1,M67_buy,0,50,2.0
1,M67_buy,0,200,2.0
1,M67_buy,500,10,-1.5
1,M67_buy,500,50,-1.5
1,M67_buy,500,200,-1.0
1,M67_buy,1000,10,0.5
1,M67_buy,1000,50,0.5
1,M67_buy,1000,200,0.5
1,M67_buy,2000,10,1.0
1,M67_buy,2000,50,1.0
1,M67_buy,2000,200,0.0
1,M67_buy,3000,10,0.5
1,M67_buy,3000,50,0.5
1,M67_buy,3000,200,2.5
1,M67_buy,5000,10,0.5
1,M67_buy,5000,50,0.5
1,M67_buy,5000,200,0.0
1,M49_sell,0,10,2.0
1,M49_sell,0,50,2.0
1,M49_sell,0,200,2.0
1,M49_sell,500,10,-1.5
1,M49_sell,500,50,-1.5
1,M49_sell,500,200,-1.0
1,M49_sell,1000,10,0.5
1,M49_sell,1000,50,0.5
1,M49_sell,1000,200,0.5
1,M49_sell,2000,10,1.0
1,M49_sell,2000,50,1.0
1,M49_sell,2000,200,0.0
1,M49_sell,3000,10,0.5
1,M49_sell,3000,50,0.5
1,M49_sell,3000,200,2.5
1,M49_sell,5000,10,0.5
1,M49_sell,5000,50,0.5
1,M49_sell,5000,200,0.0
1,M49_sell,0,10,1.5
1,M49_sell,0,50,1.5
1,M49_sell,0,200,1.5
1,M49_sell,500,10,0.5
1,M49_sell,500,50,0.5
1,M49_sell,500,200,2.0
1,M49_sell,1000,10,0.0
1,M49_sell,1000,50,0.0
1,M49_sell,1000,200,-1.0
1,M49_sell,2000,10,0.0
1,M49_sell,2000,50,0.0
1,M49_sell,2000,200,0.0
